"company","address","businessType","numberAffected","totalEmployees","union","noticeDate","closingDate","reasonDislocation","reason","url","location","longitude","latitude"
"Transform SR LLC (Sears Full Line Store Unit 01624)","283 Platinum Ave, Staten Island, NY 10314","Retail Store","39","39","The employees are not represented by a union.","7/11/2019","October 9, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6847","283 Platinum Ave, Staten Island, NY 10314, USA",40.5800481,-74.1664921
"Amneal Pharmaceuticals, LLC","75 Adams Avenue, Hauppauge, NY 11788","Pharmaceutical company","18","220","The employees are not represented by a union.","7/10/2019","12/31/2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6848","75 Adams Ave, Hauppauge, NY 11788, USA",40.8183021,-73.2549737
"Dry Cycle Brands, LLC dba FlyCleaners","4700 Northern Blvd., Long Island City, NY 11101","Pickup, delivery, dry cleaning, and laundry services.","71","71","The employees are not represented by a union.","6/3/2019","July 5, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6849","4700 Northern Blvd, Long Island City, NY 11101, USA",40.7532497,-73.9157739
"Turner Broadcasting Sales Inc.","30 Hudson Yards, New York, NY 10001","Company research & investing information","14","620","The employees are not represented by a union.","7/10/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6846","30 Hudson Yards, New York, NY 10001, USA",40.7541644,-74.0009082
"Barclays Services Corp. (Chief Operating Office and Functions  teams)","745 7th Avenue, New York, NY 10019","","","","The employees are not represented by a union.","7/8/2019","","","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6844","745 7th Ave, New York, NY 10019, USA",40.7604859,-73.9831465
"AllianceBernstein L.P. (Phase 6)","1345 Sixth Avenue, New York, NY 10105","","","","The employees are not represented by a union.","7/10/2019","","","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6845","1345 6th Ave, New York, NY 10105, USA",40.7629384,-73.978958
"Deutsche Bank Securities  Inc., DB USA Core Corporation, and Deutsche Bank AG, New York Branch, and DB  USA Corp. (together, ""Deutsche Bank"")","60 Wall Street, Brooklyn, NY 10005","","","","The employees are not represented by a union.","7/8/2019","","","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6843","60 Wall St, New York, NY 10005, USA",40.7062255,-74.0083912
"Empire Paratransit Corp.","880 Alabama Avenue, Brooklyn, NY 11207","Transportation service provider","325","325","United Service Workers Union, Local 355","7/8/2019","August 31, 2019","New York Transit Authority terminated Empire Paratransit Corp.'s contract as of July 2, 2019.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6841","880 Alabama Ave, Brooklyn, NY 11207, USA",40.6548178,-73.891706
"Columbia University (Early Head Start Program)","4467 Broadway, New York, NY 10040","","","","1199, SEIU United  Healthcare Workers East (one employee is represented by the union)","7/1/2019","","","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6842","4467 Broadway, New York, NY 10040, USA",40.8574515,-73.9325943
"Dean & DeLuca Inc.","1150 Madison Avenue, New York, NY 10028","Gourmet foods and fine food gifts","61","61","The employees are not represented by a union.","6/28/2019","6/30/2019","Loss of lease for the premises","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6840","1150 Madison Ave, New York, NY 10028, USA",40.7803648,-73.9594148
"Advance Transit Co., Inc.","1340 Lafayette Avenue, Bronx, NY 10474","Provides transportation throughout the five boroughs of NYC for people with disabilities.","143","143","International Brotherhood of Teamsters, Local 553","7/1/2019","9/30/2019","Loss of contract with the Metropolitan Transit Authority – New York City Transit Authority","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6838","1340 Lafayette Ave, The Bronx, NY 10474, USA",40.8166257,-73.8848157
"Crosstex International, Inc. (Cantel)","10 Ranick Road, Hauppauge, NY 11788","Dental equipment distribution and manufacturing","5","99","The employees are not represented by a union.","6/28/2019","-----","Restructuring which will involve the relocation of certain dental equipment distribution and manufacturing operations to Rush, NY.","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6836","10 Ranick Rd, Hauppauge, NY 11788, USA",40.8090382,-73.2294463
"JPMorgan Asset Management Holdings Inc. (JPMorgan Chase & Co.)","40 W. 57th Street, New York, NY 10019","Finance","52","106","The employees are not represented by a union.","7/1/2019","-----","Restructuring","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6837","40 W 57th St, New York, NY 10019, USA",40.763705,-73.9762452
"LimeLife USA LLC d/b/a Limelife by Alcone","(Warehouse), 8 Westchester Plaza","Retails chemical-free, natural, organic skin care, professional makeup","39","39","The employees are not represented by a union.","6/28/2019","10/1/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6832","8 Westchester Plaza, Elmsford, NY 10523, USA",41.0698197,-73.8102097
"Rare Chelsea Restaurant Group, LLC, aka Rare Bar & Grill Chelsea","152 West 26th Street, New York, NY 10001","Restaurant","79","79","The employees are not represented by a union.","6/28/2019","9/30/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6833","152 W 26th St, New York, NY 10001, USA",40.7455351,-73.9937764
"DHR Restaurant Co. LLC, aka Rare Bar & Grill Murray Hill","303 Lexington Avenue, New York, NY 10016","Restaurant","106","106","The employees are not represented by a union.","6/28/2019","9/30/2019","Seasonal venue impacting the rooftop.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6834","303 Lexington Ave, New York, NY 10016, USA",40.7484439,-73.9780391
"Warner Media, LLC (formerly Time Warner Inc.)","One Time Warner Center, New York, NY 10019","Media services","63","0","The employees are not represented by a union.","Notices were provided between 12/5/2018 and 6/27/2019","-----","Merger","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6835","10 Columbus Cir, New York, NY 10019, USA",40.7685068,-73.9831349
"Banfi Products Corporation (Warehouse)","1111 Cedar Swamp Road, Glen Head, NY 11545","Wine and Distilled Alcoholic Beverage Merchant Wholesalers","1","64","The employees are not represented by a union.","6/18/2019","September 15, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6830","1111 Cedar Swamp Rd, Glen Head, NY 11545, USA",40.8273175,-73.5952346
"Four Seasons Restaurant","42 East 49th Street, New York, NY 10007","Restaurant","85","85","UNITE HERE, Local 100","6/20/2019","6/11/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6831","42 E 49th St, New York, NY 10017, USA",40.7570443,-73.9756624
"American Technical Ceramics Corp","One Norden Lane, Huntington Station, NY 11746","Manufacturer of capacitors","24","157","The employees are not represented by a union.","6/24/2019","September 30, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6826","1 Norden Ln, Huntington Station, NY 11746, USA",40.8398638,-73.4255804
"Ivy Enterprises, Inc.","3 Seaview Blvd, Port Washington, NY 11050","","","","The employees are not represented by a union.","6/21/2019","","Relocated to New Jersey","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6827","3 Seaview Blvd, Port Washington, NY 11050, USA",40.8154649,-73.6575514
"Kiss Products, Inc. (Warehouse)","57 Seaview Blvd, Port Washington, NY 11050","","54","196","The employees are not represented by a union.","6/18/2019","September 23, 2019","Relocated to New Jersey","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6828","57 Seaview Blvd, Port Washington, NY 11050, USA",40.8149162,-73.661531
"CONMED Corporation and Buffalo Filter, LLC","5900 Genesee Street, Lancaster, NY 14086","Medical equipment manufacturer","24","82","The employees are not represented by a union.","6/17/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6823","5900 Genesee St, Lancaster, NY 14086, USA",42.9464039,-78.6336676
"Jabil Inc.","2455 South Road, Bldg 002-2, Core Office 1, Poughkeepsie, NY 12601","Global manufacturing services company.","83","83","The affected workers are not represented by a union.","1/22/2018","July 1, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6824","2455 South Rd Bldg 002-2, Poughkeepsie, NY 12601, USA",41.6536586,-73.9304375
"Home Health Services of WJCS, Inc.","845 North Broadway, White Plains, NY 10603","Personal care aides and certified home health care aides","73","685","The employees are not represented by a union.","6/17/2019","-----","Reduction in home health aide services.","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6821","845 N Broadway, White Plains, NY 10603, USA",41.0610139,-73.7664432
"M. Slavin & Sons, Ltd.","800 Food Center Drive, Unit 66, Bronx, NY 10474","Wholesale distribution fresh fish","48","48","United Seafood Workers Smoked Fish & Cannery Union Local 359 of Greater New York & Vicinity","6/1/2019","6/1/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6818","800 Food Center Dr #66, The Bronx, NY 10474, USA",40.8025758,-73.8753005
"Goldman, Sachs & Co. LLC","200 West Street, New York, NY 10282","Global investment banking","16","9,352","The employees are not represented by a union.","April 1, 2019 through June 4, 2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6819","200 West Street, New York, NY 10282, USA",40.7148544,-74.0144968
"WNY Logistics LLC","Warehouse, 1587 Haskell Road","Warehouse - Frozen, parishable, and non-parishable foods","134","214","The employees are not represented by a union.","6/13/2019","9/29/2019","Warehousing duties will be shifted to DuBois, PA.","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6820","1587 Haskell Rd, Olean, NY 14760, USA",42.070144,-78.3841995
"Hillside Children's Center (Hillside Family of Agencies)","Varick Residential Treatment Campus, 4887 State Route 96A","Provider of care for youth and families with a wide range of emotional and behavioral challenges.","244","244","The employees are not represented by a union.","6/12/2019","9/10/2019","Recognized national and statewide trends impacting the field of child-and-family services and the number of beds in residential treatment facilities.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6817","4887 NY-96A, Romulus, NY 14541, USA",42.7862322,-76.8980047
"Amsterdam Printing & Litho, Inc. (Web Graphics)","428 Corinth Road, Queensbury, NY 12804","Graphic Design Services","88","88","The employees are not represented by a union.","6/13/2019","September 13, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6816","428 Corinth Rd, Queensbury, NY 12804, USA",43.2956365,-73.7019962
"AllianceBernstein L.P. (Phase 5)","1345 Sixth Avenue, New York, NY 10105","Providing investment management and research services","24","1,461","The employees are not represented by a union.","6/6/2019","-----","Relocation of Corporate Headquarters to Nashville, Tennessee","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6813","1345 6th Ave, New York, NY 10105, USA",40.7629384,-73.978958
"WestRock CP, LLC","28 Park Drive, Amsterdam, NY 12010","American corrugated packaging company.","57","57","Amalgamated Lithographers of America, Local 259","6/11/2019","9/10/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6814","28 Park Dr, Amsterdam, NY 12010, USA",42.9268462,-74.1752561
"John Hassall, LLC.","609 Cantiague Rock Road, Westbury, NY 11590","Manufacturing custom designed metal parts & fasteners","39","39","The employees are not represented by a union.","6/11/2019","November 30, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6815","609 Cantiague Rock Rd, Westbury, NY 11590, USA",40.7748622,-73.5540166
"Dry Cycle Brands, LLC dba FlyCleaners","4700 Northern Blvd., Long Island City, NY 11101","Pickup, delivery, dry cleaning, and laundry services.","116","116","The employees are not represented by a union.","6/3/2019","July 5, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6809","4700 Northern Blvd, Long Island City, NY 11101, USA",40.7532497,-73.9157739
"Transform SR LLC (Full Line Store Unit 01733)","Rte 87 (NY St) & Cross Ct Pkwy, Yonkers, NY 10704","Retail Store","170","170","The employees are not represented by a union.","6/3/2019","September 1, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6810","87 Mall Walk, Yonkers, NY 10704, USA",40.927985,-73.85118
"Lucky Strike Entertainment, LLC","One Crossgates Mall Road, Albany, NY 12203","Large  entertainment center with bowling, a game room, live music & a modern  American gastropub.","65","65","The employees are not represented by a union.","6/5/2019","6/28/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6811","1 Crossgates Mall Rd, Albany, NY 12203, USA",42.6894808,-73.8507415
"Steiner Sports Memorabilia, Inc.","145 Huguenot Street, New Rochelle, NY 10801","Autographed  sports collectibles from the greatest teams and the best athletes in sports.","","","The employees are not represented by a union.","6/5/2019","","","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6812","145 Huguenot St, New Rochelle, NY 10801, USA",40.9136082,-73.7793174
"Imperial Distributors, Inc. (at Stop and Shop stores in New York State)","3106 Farrington Street, Flushing, NY 11354","Merchandising products in Grocery Stores","42 (total employees covering all locations)","42 (total employees covering all locations)","The employees are not represented by a union.","5/31/2019","8/31/2019","These are Imperial Distributors, Inc. Sales Service Representatives/Merchandisers working in Stop and Shop stores. The stores are not closing but rather Imperial’s contract to service in these stores is ending.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6808","31-06 Farrington St, Flushing, NY 11354, USA",40.7688895,-73.8342346
"Briad Restaurant Group LLC d/b/a Fridays","Staten Island Mall, 280 Marsh Ave","Restaurant","38","38","The employees are not represented by a union.","6/3/2019","9/8/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6807","280 Marsh Ave, Staten Island, NY 10314, USA",40.5782012,-74.1649488
"Newsday LLC","235 Pinelawn Road, Melville, NY 11747","Newspaper print and distribution","16","794","Local 406, Graphic Communications Conference, International Brotherhood of Teamsters","5/31/2019","December 16, 2018","Economic","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6805","235 Pinelawn Rd, Melville, NY 11747, USA",40.7639369,-73.4066025
"Kuni's Corporation d/b/a Ikinari Steak","96 8th Avenue, New York, NY 10011","Restaurant","5 (1 affected employee)","5","The employees are not represented by a union.","2/28/2019","5/31/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6806","96 8th Ave, New York, NY 10011, USA",40.7401615,-74.0019196
"Courtroom Television Network LLC ( WarnerMedia)","One Time Warner Center, New York, NY 10019","Media services","48","-----","The employees are not represented by a union.","5/28/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6801","10 Columbus Cir, New York, NY 10019, USA",40.7685068,-73.9831349
"Crystal Run Health Plan, LLC","109 Rykowski Lane, Middletown, NY 10941","Health Plans","7","32","The employees are not represented by a union.","4/8/2019","To Be Determined","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6802","109 Rykowski Ln, Middletown, NY 10941, USA",41.4512684,-74.3480251
"Arcadia Group (USA) Limited at Topshop and Topman Stores –  SoHo Store","478 Broadway, New York, NY 10013","British  multinational men & woman fashion retailer","172","172","The employees are not represented by a union.","5/24/2019","6/19/2019","Economic","Possible Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6803","478 Broadway, New York, NY 10013, USA",40.7213699,-73.999899
"Eastman Kodak Company (Kodak Office) Remote Workers","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","2","-----","The employees are not represented by a union.","5/20/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6800","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"Chelsea Park, LLC dba The Park","118 Tenth Avenue, New York, NY 10011","Restaurant","129","129","The employees are not represented by a union.","5/21/2019","8/25/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6796","118 10th Ave, New York, NY 10011, USA",40.744223,-74.0063139
"DBX, Inc., a subsidiary of The Dress Barn, Inc. and Ascena Retail Group, Inc","33 West 19th Street, New York, NY 10011","Clothing Store","30","30","The employees are not represented by a union.","5/21/2019","8/23/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6797","33 W 19th St, New York, NY 10011, USA",40.7400139,-73.9929501
"Geritrex, LLC","40 Commercial Avenue, Middletown, NY 10941","Pharmaceutical preparations","56","76","The employees are not represented by a union.","5/21/2019","8/18/2019","Company will be shifting to a virtual manufacturing model.","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6798","40 Commercial Ave, Middletown, NY 10941, USA",41.464721,-74.350315
"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)","560 Fifth Avenue, 3rd Floor, New York, NY 10036","Restaurants","82","82","The employees are not represented by a union.","7/13/2018","8/31/2019","Expiration of lease","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6794","560 5th Ave 3rd Floor, New York, NY 10036, USA",40.7560789,-73.9794056
"Empire State Mines","408 Sylvia Lake Rd, Gouverneur, NY 13642","Underground zinc mine","87","87","The employees are not represented by a union.","2/26/2019","-----","Restructuring of Operations","Possible Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6795","408 Sylvia Lake Rd, Gouverneur, NY 13642, USA",44.264947,-75.408727
"Goldman, Sachs & Co. LLC","200 West Street, New York, NY 10282","Global investment banking","81","9,352","The employees are not represented by a union.","April 1, 2019 through April 30, 2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6792","200 West Street, New York, NY 10282, USA",40.7148544,-74.0144968
"Quin Central Park Hotel","101 W 57th St., New York, NY 10019","Hotel services","18","104","New York Hotel and Motel Trades Council, AFL-CIO","5/13/2019","-----","Curtailing housekeeping operations due to renovation of its rooms","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6793","101 W 57th St, New York, NY 10019, USA",40.7646408,-73.9772407
"Candle Cafe West, LLC","2427 Broadway, New York, NY 10024","Vegan/Organic Restaurant","42","42","The employees are not represented by a union.","5/14/2019","4/22/2019","Gas shut off due to faulty connections in the building","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6789","2427 Broadway, New York, NY 10024, USA",40.7905977,-73.9752697
"Ingersoll Rand","3101 Broadway, Cheektowaga, NY 14227","Engine, Turbine and Power Transmission Manufacturing","228","228","International Association of Machinists & Aerospace Workers, District 65, Local #330","4/30/2019","July 1, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6790","3101 Broadway, Buffalo, NY 14227, USA",42.9017426,-78.7614495
"Eastman Kodak Company (Kodak Office) Remote Worker","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","1","-----","The employees are not represented by a union.","5/6/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6791","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"General Dynamics Information Technology","9th Street Middle, Building 990, Fort Drum, NY 13602","IT service management","51","51","The employees are not represented by a union.","3/4/2019","7/31/2019","Possible Expiration of Warfighter Focus Contract","Possible Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6788","9th St E, Fort Drum, NY 13602, USA",44.0398402,-75.7356126
"Sodexo, Inc. (at Ithaca College)","1101 Terrace Dining Hall, Ithaca, NY 14850","Food Service Contractors","110","110","The employees are not represented by a union.","3/29/2019","May 31, 2019","Loss of contract","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6786","Terrace Dining Hall, Ithaca, NY 14850, USA",42.4198688,-76.4962724
"Concentrix CVG Corporation (Formerly Convergys Corporation)","146 Arsenal Street, Watertown, NY 13601","Inbound Call Center","117","540","The employees are not represented by a union.","2/5/2019","June 30, 2019","Loss of Contract","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6785","146 Arsenal St, Watertown, NY 13601, USA",43.9760116,-75.9130623
"American Precision Industries, Inc.","45 Hazelwood Drive, Amherst, NY 14228","Transmission Company","79","79","International United Automobile, Aerospace and Agricultural Implement Workers of America (UAW) Local Union No. 1416","5/1/2019","10/18/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6784","45 Hazelwood Dr, Buffalo, NY 14228, USA",43.0280555,-78.8118943
"Celmatix Inc. (Operations Office)","14 Wall Street, New York, NY 10005","Biotechnology company","48","48","The employees are not represented by a union.","12/17/2018","2/1/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6780","14 Wall St, New York, NY 10005, USA",40.7076193,-74.0105948
"Celmatix Inc. (Operations Office)","14 Wall Street, New York, NY 10005","Biotechnology company","42","42","The employees are not represented by a union.","12/17/2018           Amended","5/1/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6781","14 Wall St, New York, NY 10005, USA",40.7076193,-74.0105948
"Celmatix Inc. (Operations Office)","14 Wall Street, New York, NY 10005","Biotechnology company","66","66","The employees are not represented by a union.","12/17/2018                Amended","2/1/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6782","14 Wall St, New York, NY 10005, USA",40.7076193,-74.0105948
"HN Precision, DBA Nationwide Precision Products","200 Tech Park Drive, Rochester, NY 14623","Machining manufacturer","50","50","The employees are not represented by a union.","5/1/2019","12/31/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6779","200 Tech Park Dr, Rochester, NY 14623, USA",43.0743598,-77.66095
"Frontier Communications Corp.","(Technical Support Organization), 122S Jefferson Rd.","Wired Telecommunications Carriers","286","-----","The employees are not represented by a union.","5/1/2019","-----","Economic","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6778","122 Jefferson Rd, Rochester, NY 14623, USA",43.0927424,-77.6683542
"Quin Central Park Hotel","101 W 57th St,, New York, NY 10019","Hotel services","10","105","New York Hotel and Motel Trades Council, AFL-CIO","4/26/2019","-----","Curtailing housekeeping operations due to renovation of its rooms","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6774","101 W 57th St, New York, NY 10019, USA",40.7646408,-73.9772407
"NYSARC Inc.- Suffolk Inc. (AHRC Suffolk) at Shoreham ICF facility","283 Route 25A, Shoreham, NY 11786","Non-profit organization dedicated to applying professional and financial resources toward improving the lives of people.","285","285","The employees are not represented by a union.","4/29/2019","7/31/2019","Transferring operations of its Shoreham ICF facility to Citizens Option Unlimited.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6775","283 NY-25A, Shoreham, NY 11786, USA",40.9449687,-72.872633
"The College of New Rochelle","Main Campus, 29 Castle Place","College","857","857 (Total employees at all sites)","International Brotherhood of Teamsters Local 445","4/8/2019","7/8/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6777","29 Castle Pl, New Rochelle, NY 10805, USA",40.9018725,-73.7816952
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","1","-----","The employee is not represented by a union.","4/23/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6772","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"Sodexo, Inc. (at Westchester Medical Center)","100 Woods Road, Valhalla, NY 10595","Perform ES/Custodial Services","263","263","SEIU United Healthcare Workers East","4/12/2019","9/29/2019","Loss of contract","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6773","100 Woods Rd, Valhalla, NY 10595, USA",41.0868701,-73.8050457
"Anvil NY LLC dba Benchmarc Restaurants by Marc Murphy","179 West Broadway, New York, NY 10013","Restaurant","6","133 ( Total at both sites)","The employees are not represented by a union.","4/19/2019","8/21/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6771","179 W Broadway, New York, NY 10013, USA",40.717924,-74.0070881
"Applebee's (TLC Central, LLC)","Woodbury Common, 448 Evergreen Court","Restaurant","55","55","The employees are not represented by a union.","4/19/2019","7/16/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6770","498 Red Apple Ct, Central Valley, NY 10917, USA",41.3169448,-74.1250465
"EZ Mailing Services, Inc.","147-34 176th Street, Jamaica, NY 11434","Mailing Services","92","92","The employees are not represented by a union.","4/11/2019","4/19/2019","The company is in the process of attempting to sell the business.","Possible Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6767","147-34 176th St, Jamaica, NY 11434, USA",40.6599276,-73.7701709
"Association for Metroarea Autistic Children, Inc.","25 West 17th Street, New York, NY 10011","School for children with autism and special needs","77","77","The employees are not represented by a union.","4/17/2019","7/15/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6768","25 W 17th St, New York, NY 10011, USA",40.7386488,-73.9936138
"100 Resilient Cities (a sponsored project of Rockefeller Philanthropy Advisors)","420 Fifth Avenue, New York, NY 10018","The Rockefeller Foundation launched 100 Resilient Cities to help cities around the world become more resilient to the challenges of the 21st century.","49","49","The employees are not represented by a union.","4/18/2019","7/31/2019","Funding ceased.","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6769","420 5th Ave, New York, NY 10018, USA",40.7508592,-73.9833243
"ClickSpark LLC","530 Summit Point Drive, Henrietta, NY 14467","Internet marketing service","6","6","The employees are not represented by a union.","4/15/2019","7/15/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6766","530 Summit Point Dr, Henrietta, NY 14467, USA",43.0545048,-77.6522702
"CallVista LLC","530 Summit Point Drive, Henrietta, NY 14467","Call center","75","75","The employees are not represented by a union.","4/15/2019","7/15/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6764","530 Summit Point Dr, Henrietta, NY 14467, USA",43.0545048,-77.6522702
"Aramark Educational Services, LLC (at Barnard College & Java City)","607 W. 116th Street, New York, NY 10027","Provides food service, facilities and uniform services to hospitals, universities, school districts, stadiums and other businesses.","61","61","Transport Workers Union Local 264","4/15/2019","6/30/2019","Loss of contract","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6761","607 W 116th St, New York, NY 10027, USA",40.8084584,-73.9645431
"Concentrix CVG Corporation (formerly Convergys Corporation)","146 Arsenal Street, Watertown, NY 13601","Inbound Call Center","244","396","The employees are not represented by a union.","4/16/2019","July 26, 2019","Loss of Contract","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6763","146 Arsenal St, Watertown, NY 13601, USA",43.9760116,-75.9130623
"Eastman Kodak Company (Kodak Research Labs)","1999 Lake Avenue, Rochester, NY 14650","Photographic equipment and Supplies","3","-----","The employees are not represented by a union.","4/10/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6760","1999 Lake Ave, Rochester, NY 14615, USA",43.203548,-77.628987
"Goldman, Sachs & Co. LLC","200 West Street, New York, NY 10282","Global investment banking","98","9,323","The employees are not represented by a union.","2/19/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6759","200 West Street, New York, NY 10282, USA",40.7148544,-74.0144968
"Crystal Run Health Plan, LLC","109 Rykowski Lane, Middletown, NY 10941","Health Plans","7","32","The employees are not represented by a union.","4/8/2019","To be determined","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6755","109 Rykowski Ln, Middletown, NY 10941, USA",41.4512684,-74.3480251
"Sizmek Technologies, Inc.","401 Park Avenue, South, 5th Floor, New York, NY 10016","Advertising Agency","135","91","The employees are not represented by a union.","4/9/2019","To be determined","Economic","Possible Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6756","401 Park Ave S 5th Floor, New York, NY 10016, USA",40.7429621,-73.9840393
"Transit Management of Dutchess County","14 Commerce Street, Poughkeepsie, NY 12603","Dutchess County Public Transit bus system operator","95","95","Teamsters Local 445","4/1/2019","6/30/2019","Possible loss of contract with Dutchess County","Possible Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6758","14 Commerce St, Poughkeepsie, NY 12603, USA",41.6820148,-73.8545298
